,Date,DOW_Close,SP500_Close,NASDAQ_Close,Total_Deaths
137,8/18/2020,27778.07,3389.78,11210.83984,6807
138,8/19/2020,27692.88,3374.85,11146.45996,6727
139,8/20/2020,27739.73,3385.51,11264.9502,6072
140,8/21/2020,27930.33,3397.16,11311.799809999999,5438
141,8/24/2020,28308.46,3431.28,11379.719729999999,4506
142,8/25/2020,28248.44,3443.62,11466.469729999999,6286
143,8/26/2020,28331.92,3478.73,11665.05957,6226
144,8/27/2020,28492.27,3484.55,11625.33984,5894
145,8/28/2020,28653.87,3508.01,11695.62988,5529
146,8/31/2020,28430.05,3500.31,11775.45996,4177
147,9/1/2020,28645.66,3526.65,11939.66992,6401
148,9/2/2020,29100.5,3580.84,12056.44043,6109
149,9/3/2020,28292.73,3455.06,11458.09961,5684
150,9/4/2020,28133.31,3426.96,11313.12988,5869
151,9/8/2020,27500.89,3331.84,10847.69043,4914
152,9/9/2020,27940.47,3398.96,11141.55957,6105
153,9/10/2020,27534.58,3339.19,10919.58984,5804
154,9/11/2020,27665.64,3340.97,10853.549809999999,5851
155,9/14/2020,27993.33,3383.54,11056.65039,4440
156,9/15/2020,27995.6,3401.2,11190.32031,6426
157,9/16/2020,28032.38,3385.49,11050.469729999999,5780
158,9/17/2020,27901.98,3357.01,10910.280270000001,5468
159,9/18/2020,27657.42,3319.47,10793.280270000001,5668
160,9/21/2020,27147.7,3281.06,10778.799809999999,4102
161,9/22/2020,27288.18,3315.57,10963.63965,5972
162,9/23/2020,26763.13,3236.92,10632.99023,5610
163,9/24/2020,26815.44,3246.59,10672.26953,6654
164,9/25/2020,27173.96,3298.46,10913.55957,5903
165,9/28/2020,27584.06,3351.6,11117.530270000001,3975
166,9/29/2020,27452.66,3335.47,11085.25,5902
167,9/30/2020,27781.7,3363.0,11167.50977,6464
168,10/1/2020,27816.9,3380.8,11326.50977,8715
169,10/2/2020,27682.81,3348.42,11075.01953,4936
170,10/5/2020,28148.64,3408.6,11332.49023,6947
171,10/6/2020,27772.76,3360.97,11154.59961,5776
172,10/7/2020,28303.46,3419.44,11364.59961,5836
173,10/8/2020,28425.51,3446.83,11420.98047,6278
174,10/9/2020,28586.9,3477.14,11579.94043,6150
175,10/12/2020,28837.52,3534.22,11876.25977,3983
176,10/13/2020,28679.81,3511.93,11863.90039,5286
177,10/14/2020,28514.0,3488.67,11768.73047,6073
178,10/15/2020,28494.2,3483.34,11713.87012,6115
179,10/16/2020,28606.31,3483.81,11671.55957,6185
180,10/19/2020,28195.42,3426.92,11478.87988,4836
181,10/20/2020,28308.79,3443.12,11516.49023,6553
182,10/21/2020,28210.82,3435.56,11484.69043,6630
183,10/22/2020,28363.66,3453.49,11506.00977,5936
184,10/23/2020,28335.57,3465.39,11548.280270000001,6971
185,10/26/2020,27685.38,3400.97,11358.94043,5517
186,10/27/2020,27463.19,3390.68,11431.34961,7372
187,10/28/2020,26519.95,3271.03,11004.87012,7160
188,10/29/2020,26659.11,3310.11,11185.58984,7086
189,10/30/2020,26501.6,3269.96,10911.58984,7599
190,11/2/2020,26925.05,3310.24,10957.61035,6103
191,11/3/2020,27480.03,3369.16,11160.57031,9345
192,11/4/2020,27847.66,3443.44,11590.780270000001,10251
193,11/5/2020,28390.18,3510.45,11890.92969,8013
194,11/6/2020,28323.4,3509.44,11895.23047,9661
195,11/9/2020,29157.97,3550.5,11713.780270000001,7223
196,11/10/2020,29420.92,3545.53,11553.86035,9993
197,11/11/2020,29397.63,3572.66,11786.42969,10451
198,11/12/2020,29080.17,3537.01,11709.58984,9766
199,11/13/2020,29479.81,3585.15,11829.29004,9588
