Date,Open,High,Low,Close,Adj Close,Volume,Change
6/22/2020,25865.08,26059.81,25667.68,26024.96,26024.96,351780000,-159.88
6/23/2020,26159.39,26314.97,26105.97,26156.1,26156.1,389980000,3.29
6/24/2020,25992.96,25992.96,25296.73,25445.94,25445.94,450120000,547.02
6/25/2020,25365.22,25769.61,25209.79,25745.6,25745.6,384560000,-380.38
6/26/2020,25641.69,25641.69,24971.03,25015.55,25015.55,640860000,626.14
6/29/2020,25152.45,25601.15,25096.16,25595.8,25595.8,378070000,-443.35
6/30/2020,25512.43,25905.38,25475.14,25812.88,25812.88,410780000,-300.45
7/1/2020,25879.38,26019.31,25713.61,25734.97,25734.97,373180000,144.41
7/2/2020,25936.45,26204.41,25778.12,25827.36,25827.36,349130000,109.09
7/6/2020,25996.08,26297.53,25996.08,26287.03,26287.03,340690000,-290.95
7/7/2020,26172.01,26174.93,25866.58,25890.18,25890.18,346820000,281.83
7/8/2020,25950.06,26109.49,25816.25,26067.28,26067.28,337300000,-117.22
7/9/2020,26094.92,26103.28,25523.51,25706.09,25706.09,387610000,388.83
7/10/2020,25690.35,26101.32,25637.5,26075.3,26075.3,338170000,-384.95
7/13/2020,26225.07,26639.09,26044.23,26085.8,26085.8,425320000,139.27
7/14/2020,26044.17,26690.52,25994.98,26642.59,26642.59,401640000,-598.42
7/15/2020,27009.81,27071.33,26692.48,26870.1,26870.1,384900000,139.71
7/16/2020,26746.57,26879.16,26590.01,26734.71,26734.71,287330000,11.86
7/17/2020,26774.62,26808.43,26619.88,26671.95,26671.95,296460000,102.67
7/20/2020,26660.29,26765.02,26504.2,26680.87,26680.87,309390000,-20.58
7/21/2020,26833.14,27025.38,26766.22,26840.4,26840.4,364930000,-7.26
7/22/2020,26824.56,27035.24,26794.19,27005.84,27005.84,404340000,-181.28
7/23/2020,26955.97,26973.85,26560.04,26652.33,26652.33,419800000,303.64
7/24/2020,26533.41,26625.7,26402.86,26469.89,26469.89,494170000,63.52
7/27/2020,26447.67,26625.46,26426.92,26584.77,26584.77,400930000,-137.1
7/28/2020,26529.45,26556.84,26361.71,26379.28,26379.28,361090000,150.17
7/29/2020,26388.44,26602.45,26375.39,26539.57,26539.57,347580000,-151.13
7/30/2020,26367.42,26374.93,25992.28,26313.65,26313.65,351540000,53.77
7/31/2020,26409.33,26440.02,26013.59,26428.32,26428.32,488050000,-18.99
8/3/2020,26542.32,26707.26,26534.38,26664.4,26664.4,439380000,-122.08
8/4/2020,26664.61,26832.72,26597.82,26828.47,26828.47,346350000,-163.86
8/5/2020,26924.78,27221.67,26924.78,27201.52,27201.52,366000000,-276.74
8/6/2020,27170.82,27394.1,27145.25,27386.98,27386.98,322460000,-216.16
8/7/2020,27321.68,27456.24,27223.55,27433.48,27433.48,321170000,-111.8
8/10/2020,27488.21,27803.86,27488.21,27791.44,27791.44,360340000,-303.23
8/11/2020,27961.64,28154.88,27624.51,27686.91,27686.91,428220000,274.73
8/12/2020,27860.24,28043.89,27843.32,27976.84,27976.84,340210000,-116.6
8/13/2020,27922.51,27986.1,27789.78,27896.72,27896.72,360160000,25.79
8/14/2020,27828.93,27977.81,27759.39,27931.02,27931.02,275540000,-102.09
8/17/2020,27970.05,27999.81,27816.4,27844.91,27844.91,286860000,125.14
8/18/2020,27853.48,27891.12,27668.79,27778.07,27778.07,276170000,75.41
8/19/2020,27811.26,27920.42,27647.67,27692.88,27692.88,311460000,118.38
8/20/2020,27622.68,27781.46,27526.25,27739.73,27739.73,304550000,-117.05
8/21/2020,27758.13,27959.48,27686.78,27930.33,27930.33,372720000,-172.2
8/24/2020,28077.58,28314.94,28041.75,28308.46,28308.46,383880000,-230.88
8/25/2020,28347.42,28400.74,28094.57,28248.44,28248.44,338420000,98.98
8/26/2020,28257.88,28353.8,28153.91,28331.92,28331.92,327070000,-74.04
8/27/2020,28384.07,28634.22,28363.93,28492.27,28492.27,404340000,-108.2
8/28/2020,28601.29,28733.35,28487.98,28653.87,28653.87,369740000,-52.58
8/31/2020,28643.66,28643.66,28363.55,28430.05,28430.05,517320000,213.61
9/1/2020,28439.61,28659.26,28290.72,28645.66,28645.66,423410000,-206.05
9/2/2020,28736.79,29162.88,28713.53,29100.5,29100.5,539510000,-363.71
9/3/2020,29090.7,29199.35,28074.76,28292.73,28292.73,650080000,797.97
9/4/2020,28341.05,28539.75,27664.68,28133.31,28133.31,694640000,207.74
9/8/2020,27925.23,27925.23,27464.9,27500.89,27500.89,580860000,424.34
9/9/2020,27711.71,28206.21,27704.54,27940.47,27940.47,460590000,-228.76
9/10/2020,28022.51,28174.78,27447.08,27534.58,27534.58,442850000,487.93
9/11/2020,27613.86,27828.82,27448.15,27665.64,27665.64,435330000,-51.78
9/14/2020,27718.74,28086.06,27718.74,27993.33,27993.33,380750000,-274.59
9/15/2020,28139.76,28231.06,27931.45,27995.6,27995.6,414520000,144.16
9/16/2020,28031.69,28364.77,28021.67,28032.38,28032.38,416650000,-0.69
9/17/2020,27834.18,28056.79,27647.93,27901.98,27901.98,437230000,-67.8
9/18/2020,27864.87,27946.69,27487.97,27657.42,27657.42,698710000,207.45
9/21/2020,27484.71,27484.71,26715.15,27147.7,27147.7,523660000,337.01
9/22/2020,27170.34,27333.09,26989.93,27288.18,27288.18,420720000,-117.84
9/23/2020,27413.6,27464.46,26716.12,26763.13,26763.13,459470000,650.47
9/24/2020,26716.09,27094.85,26537.01,26815.44,26815.44,447810000,-99.35
9/25/2020,26694.51,27239.29,26635.38,27173.96,27173.96,388900000,-479.45
9/28/2020,27362.14,27722.6,27362.14,27584.06,27584.06,401860000,-221.92
9/29/2020,27560.24,27605.6,27338.09,27452.66,27452.66,303820000,107.58
9/30/2020,27514.64,28026.33,27511.06,27781.7,27781.7,452550000,-267.06
10/1/2020,27940.63,28041.46,27669.26,27816.9,27816.9,373450000,123.73
10/2/2020,27536.39,27861.43,27382.94,27682.81,27682.81,392770000,-146.42
10/5/2020,27825.42,28162.64,27825.42,28148.64,28148.64,318210000,-323.22
10/6/2020,28214.24,28354.48,27728.03,27772.76,27772.76,435030000,441.48
10/7/2020,27971.36,28369.66,27971.36,28303.46,28303.46,328750000,-332.1
10/8/2020,28348.86,28459.13,28265.56,28425.51,28425.51,314750000,-76.65
10/9/2020,28533.61,28676.29,28440.63,28586.9,28586.9,324050000,-53.29
10/12/2020,28671.12,28957.9,28659.67,28837.52,28837.52,493680000,-166.4
10/13/2020,28764.95,28808.84,28604.35,28679.81,28679.81,526110000,85.14
10/14/2020,28731.3,28792.56,28461.73,28514,28514,370800000,217.3
10/15/2020,28323.4,28535.85,28181.54,28494.2,28494.2,328940000,-170.8
10/16/2020,28570.72,28842.9,28570.72,28606.31,28606.31,356140000,-35.59
10/19/2020,28633.55,28711.93,28139.4,28195.42,28195.42,358700000,438.13
10/20/2020,28245.85,28575.03,28243.04,28308.79,28308.79,350220000,-62.94
10/21/2020,28270.66,28450.64,28196.39,28210.82,28210.82,299420000,59.84
10/22/2020,28197.42,28421.31,28040.18,28363.66,28363.66,330320000,-166.24
10/23/2020,28409.65,28436.52,28149.82,28335.57,28335.57,347300000,74.08
10/26/2020,28185.82,28185.82,27370.16,27685.38,27685.38,404150000,500.44
10/27/2020,27651.18,27707.69,27457.96,27463.19,27463.19,366400000,187.99
10/28/2020,27102.14,27102.14,26497.39,26519.95,26519.95,496150000,582.19
10/29/2020,26480.98,26891.89,26290.78,26659.11,26659.11,419770000,-178.13
10/30/2020,26572.27,26639.18,26143.77,26501.6,26501.6,504820000,70.67
11/2/2020,26691.28,27043.48,26691.28,26925.05,26925.05,379990000,-233.77
11/3/2020,27138.69,27640.21,27138.69,27480.03,27480.03,350980000,-341.34
11/4/2020,27512.83,28301.5,27512.83,27847.66,27847.66,447860000,-334.83
11/5/2020,28083.37,28495.05,28083.37,28390.18,28390.18,390140000,-306.81
11/6/2020,28399.13,28431.96,28189.5,28323.4,28323.4,326710000,75.73
11/9/2020,29467.9,29933.83,29130.66,29157.97,29157.97,673310000,309.93
11/10/2020,29254.17,29478.86,29126.99,29420.92,29420.92,526980000,-166.75
11/11/2020,29524.35,29593.11,29281.22,29397.63,29397.63,376700000,126.72
11/12/2020,29231.91,29311.83,28902.13,29080.17,29080.17,369320000,151.74
11/13/2020,29203.9,29559.25,29203.9,29479.81,29479.81,348810000,-275.91
11/16/2020,29672.36,29964.29,29672.36,29950.44,29950.44,418290000,-278.08
11/17/2020,29800.15,29872.42,29520.29,29783.35,29783.35,372380000,16.8
11/18/2020,29875.4,29930.85,29432.84,29438.42,29438.42,382850000,436.98
11/19/2020,29370.92,29524.9,29228.38,29483.23,29483.23,331330000,-112.31
11/20/2020,29437.57,29469.89,29231.2,29263.48,29263.48,305350000,174.09
11/23/2020,29332.82,29667.75,29332.82,29591.27,29591.27,387200000,-258.45
11/24/2020,29746.11,30116.51,29746.11,30046.24,30046.24,432760000,-300.13
11/25/2020,30058.87,30058.87,29806.25,29872.47,29872.47,323030000,186.4
11/27/2020,29911.33,30015.13,29819.98,29910.37,29910.37,177040000,0.96
11/30/2020,29854.51,29854.51,29463.64,29638.64,29638.64,551350000,215.87
12/1/2020,29797.5,30083.31,29797.5,29823.92,29823.92,429510000,-26.42
12/2/2020,29695.09,29902.51,29599.29,29883.79,29883.79,385280000,-188.7
12/3/2020,29920.83,30110.88,29877.27,29969.52,29969.52,405680000,-48.69
12/4/2020,29989.56,30218.26,29989.56,30218.26,30218.26,356590000,-228.7
12/7/2020,30233.03,30233.03,29967.22,30069.79,30069.79,365810000,163.24
12/8/2020,29997.95,30246.22,29972.07,30173.88,30173.88,311190000,-175.93
12/9/2020,30229.81,30319.7,29951.85,30068.81,30068.81,380520000,161
12/10/2020,30032.55,30063.87,29876.82,29999.26,29999.26,325550000,33.29
12/11/2020,29988.21,30071.13,29820.84,30046.37,30046.37,393870000,-58.16
12/14/2020,30123.91,30325.79,29849.15,29861.55,29861.55,371980000,262.36
12/15/2020,29919.09,30243.26,29894.95,30199.31,30199.31,417770000,-280.22
12/16/2020,30191.38,30236.03,30080.11,30154.54,30154.54,344590000,36.84
12/17/2020,30216,30323.78,30216,30303.37,30303.37,345530000,-87.37
12/18/2020,30314.26,30343.59,30029.44,30179.05,30179.05,782070000,135.21
12/21/2020,30159,30304.14,29755.53,30216.45,30216.45,437480000,-57.45
12/22/2020,30200.2,30200.2,29992.89,30015.51,30015.51,388810000,184.69
12/23/2020,30046.73,30292.53,30046.73,30129.83,30129.83,274050000,-83.1
12/24/2020,30155.92,30209.67,30099.3,30199.87,30199.87,145570000,-43.95
12/28/2020,30283.23,30525.56,30283.23,30403.97,30403.97,302490000,-120.74
12/29/2020,30492.07,30588.79,30274.24,30335.67,30335.67,357610000,156.4
12/30/2020,30415.09,30525.35,30393.04,30409.56,30409.56,291890000,5.53
12/31/2020,30417.64,30637.47,30344.5,30606.48,30606.48,284470000,-188.84
1/4/2021,30627.47,30674.28,29881.82,30223.89,30223.89,475080000,403.58
1/5/2021,30204.25,30504.89,30141.78,30391.6,30391.6,350910000,-187.35
1/6/2021,30362.78,31022.65,30313.07,30829.4,30829.4,500430000,-466.62
1/7/2021,30901.18,31193.4,30897.86,31041.13,31041.13,427810000,-139.95
1/8/2021,31069.58,31140.67,30793.27,31097.97,31097.97,381150000,-28.39
1/11/2021,31015.37,31096.98,30832.06,31008.69,31008.69,356540000,6.68
1/12/2021,31015.01,31114.56,30888.76,31068.69,31068.69,362620000,-53.68
1/13/2021,31084.88,31153.37,30992.05,31060.47,31060.47,413250000,24.41
